商品,價格,網址
<書本熊>[布可屋]合格快手！新日檢必考單字速成N1 N2 N3 N4 N5（附MP3）：9789579579995,$275,https://shopee.tw//-書本熊-布可屋-合格快手！新日檢必考單字速成N1-N2-N3-N4-N5（附MP3）：9789579579995-i.25236816.3740675961
《寂天文化》用聽的背日檢Ｎ2單字3700[9折],$315,https://shopee.tw//《寂天文化》用聽的背日檢Ｎ2單字3700-9折--i.42458033.5018630992
IKU老師說一定會考的新日檢高分單字N2~N1（數位學習版）[二手書_良好]8912,$416,https://shopee.tw//IKU老師說一定會考的新日檢高分單字N2~N1（數位學習版）-二手書_良好-8912-i.159834670.6651975582
日檢N2單字大全(搶分進考場),$205,https://shopee.tw//日檢N2單字大全(搶分進考場)-i.20570968.2357606650
9789862465172﹝山田社-﹞精修版重音版新制日檢！絕對合格N1、N2、N3、N4、N5必背單字大全（25K＋M,$506,https://shopee.tw//9789862465172﹝山田社-﹞精修版重音版新制日檢！絕對合格N1、N2、N3、N4、N5必背單字大全（25K＋M-i.59926168.1683593073
《山田社》精修版新制日檢！絕對合格N1、N2必背單字大全[9折],$378,https://shopee.tw//《山田社》精修版新制日檢！絕對合格N1、N2必背單字大全-9折--i.42458033.4948489615
精修版新制日檢絕對合格N1.N2.N3.N4.N5必背單字大全(25K+MP3),$449,https://shopee.tw//精修版新制日檢絕對合格N1.N2.N3.N4.N5必背單字大全(25K-MP3)-i.20570968.2357577591
<書本熊>新制日檢！絕對合格 N2單字、文法、閱讀、聽力全真模考三回＋詳解（16Ｋ+MP3）：9789862465202,$315,https://shopee.tw//-書本熊-新制日檢！絕對合格-N2單字、文法、閱讀、聽力全真模考三回＋詳解（16Ｋ-MP3）：9789862465202-i.25236816.1734481831
10000單字，搞定新日檢：N1、N2、N3、N4、N5必考單字，高分合格 [二手書_良好] 8538,$289,https://shopee.tw//10000單字，搞定新日檢：N1、N2、N3、N4、N5必考單字，高分合格-二手書_良好-8538-i.159834670.5857968648
《雅典文化》日檢單字＋文法一本搞定N2[9折],$269,https://shopee.tw//《雅典文化》日檢單字＋文法一本搞定N2-9折--i.42458033.3518254599
絕對合格！新制日檢 必勝N2情境分類單字 (25K+MP3),$265,https://shopee.tw//絕對合格！新制日檢-必勝N2情境分類單字-(25K-MP3)-i.163113630.2608077041
9789863184560【大師圖書寂天文化】用聽的背日檢Ｎ2單字3700（長20K+日中朗讀MP3）,$276,https://shopee.tw//9789863184560【大師圖書寂天文化】用聽的背日檢Ｎ2單字3700（長20K-日中朗讀MP3）-i.59926168.1064482724
新日檢考試有祕密(全方位N2單字+全真模擬試題),$337,https://shopee.tw//新日檢考試有祕密(全方位N2單字-全真模擬試題)-i.20570968.2357512935
《山田社》精修版新制日檢絕對合格！N1、N2、N3、N4、N5必背單字大全[9折],$539,https://shopee.tw//《山田社》精修版新制日檢絕對合格！N1、N2、N3、N4、N5必背單字大全-9折--i.42458033.3348577843
新日檢考試有祕密：全方位N2單字+全真模擬試題[88折]11100702064,$395,https://shopee.tw//新日檢考試有祕密：全方位N2單字-全真模擬試題-88折-11100702064-i.159834670.5629728686
"《山田社》精裝本重音版新日檢絕對合格N1,N2,N3,N4,N5單字大全(軟精)[9折]",$539,https://shopee.tw//《山田社》精裝本重音版新日檢絕對合格N1-N2-N3-N4-N5單字大全(軟精)-9折--i.42458033.3248005235
新制日檢！絕對合格N2單字、文法、閱讀、聽力全真模考三回＋詳解（16K+MP3）[79折]11100866194,$315,https://shopee.tw//新制日檢！絕對合格N2單字、文法、閱讀、聽力全真模考三回＋詳解（16K-MP3）-79折-11100866194-i.159834670.5313767495
<書本熊>精修版 新制對應 絕對合格！日檢必背單字N2（25K＋MP3）：9789862464373,$277,https://shopee.tw//-書本熊-精修版-新制對應-絕對合格！日檢必背單字N2（25K＋MP3）：9789862464373-i.25236816.457247498
《世一》日檢N2單字大全(軟精)[85折],$221,https://shopee.tw//《世一》日檢N2單字大全(軟精)-85折--i.42458033.1586893874
