商品,價格,網址
<書本熊>[山田]精修重音版 新制對應 絕對合格！日檢必背單字N2 (25K+MP3)：9789862465455,$430,https://shopee.tw//-書本熊-山田-精修重音版-新制對應-絕對合格！日檢必背單字N2-(25K-MP3)：9789862465455-i.25236816.7509271439
<書本熊二館>[雅典]日檢單字＋文法一本搞定N2（＋MP3）：9789869779555  外語1910,$254,https://shopee.tw//-書本熊二館-雅典-日檢單字＋文法一本搞定N2（＋MP3）：9789869779555-外語1910-i.155768384.7407296368
JLPT N2日檢單字文法 模擬試題(含CD),$100,https://shopee.tw//JLPT-N2日檢單字文法-模擬試題(含CD)-i.6719336.7240830475
Anki 日檢N2 單字（非實體書）,$200,https://shopee.tw//Anki-日檢N2-單字（非實體書）-i.12109906.7215709911
【2020 JLPT】日檢N2速記單字卡（2000單字）（Anki電子檔）,$60,https://shopee.tw//【2020-JLPT】日檢N2速記單字卡（2000單字）（Anki電子檔）-i.89089793.7052306223
全新 新日檢N2關鍵單字2500 我識出版,$250,https://shopee.tw//全新-新日檢N2關鍵單字2500-我識出版-i.41350272.7046000525
雅典出版 日檢【日檢單字+文法一本搞定N2】（2019年11月版）,$230,https://shopee.tw//雅典出版-日檢【日檢單字-文法一本搞定N2】（2019年11月版）-i.97363674.7007047265
N2絕對合格日檢單字（口袋書）,$120,https://shopee.tw//N2絕對合格日檢單字（口袋書）-i.4219516.6951229413
絕對合格 日檢單字 2級 動·名詞篇 日本語能力試驗 N2單字,$330,https://shopee.tw//絕對合格-日檢單字-2級-動·名詞篇-日本語能力試驗-N2單字-i.1397571.6943678681
"新日檢JLPT N2關鍵單字2,500：主考官的單字庫完全收錄，新日檢N2快速過關！",$276,https://shopee.tw//新日檢JLPT-N2關鍵單字2-500：主考官的單字庫完全收錄，新日檢N2快速過關！-i.192717465.6930469138
合格快手! 新日檢必考單字速成N1 N2 N3 N4 N5 (附MP3)/渡邊由里/ 田中紀子 eslite誠品,$314,https://shopee.tw//合格快手!-新日檢必考單字速成N1-N2-N3-N4-N5-(附MP3)-渡邊由里-田中紀子-eslite誠品-i.211208801.6851914515
新日檢N2關鍵單字2500/N2合格全攻略！新日檢六回全真模擬試題,$170 ~ $350,https://shopee.tw//新日檢N2關鍵單字2500-N2合格全攻略！新日檢六回全真模擬試題-i.148136445.6748315787
 新制日檢! 絕對合格: N2單字、文法、閱讀、聽力全真模考三回＋詳解 /吉松由美/ 田中陽子/ 誠品eslite,$359,https://shopee.tw//新制日檢!-絕對合格-N2單字、文法、閱讀、聽力全真模考三回＋詳解-吉松由美-田中陽子-誠品eslite-i.211208801.6739235840
❤️ 新制對應 絕對合格!日檢單字N2（附CD)❤️ 攜帶本,$100,https://shopee.tw//❤️-新制對應-絕對合格!日檢單字N2（附CD)❤️-攜帶本-i.187011062.6625254307
精裝本 精修版 新制日檢 絕對合格 N1 N2 N3 N4 N5 必背文法大全 聽力 文法 單字,$260,https://shopee.tw//精裝本-精修版-新制日檢-絕對合格-N1-N2-N3-N4-N5-必背文法大全-聽力-文法-單字-i.5603610.6503649360
"精修版 新制日檢！絕對合格 N1,N2必背單字大全（25K＋MP3）",$302,https://shopee.tw//精修版-新制日檢！絕對合格-N1-N2必背單字大全（25K＋MP3）-i.163113630.6501649077
"新日檢絕對合格N1,N2,N3,N4,N5單字大全 精裝本 修訂本（25K+ MP3）",$364,https://shopee.tw//新日檢絕對合格N1-N2-N3-N4-N5單字大全-精裝本-修訂本（25K-MP3）-i.83024609.2212110401
10000單字，搞定新日檢：N1、N2、N3、N4、N5必考單字，高分合格ポイント（附MP3）,$310,https://shopee.tw//10000單字，搞定新日檢：N1、N2、N3、N4、N5必考單字，高分合格ポイント（附MP3）-i.5696884.6241757851
【二手英日語學習多本】日檢/英檢/托福/研究所/大學/高中/初級/生活/職場 會話閱讀文法單字聽力N1 N2 N3 N4,$49 ~ $85,https://shopee.tw//【二手英日語學習多本】日檢-英檢-托福-研究所-大學-高中-初級-生活-職場-會話閱讀文法單字聽力N1-N2-N3-N4-i.54377491.6217594519
《山田社》精修重音版新制對應絕對合格！日檢必背單字N2[9折],$386,https://shopee.tw//《山田社》精修重音版新制對應絕對合格！日檢必背單字N2-9折--i.42458033.7747256877
絕對合格日檢必背單字N2（口袋書）,$199,https://shopee.tw//絕對合格日檢必背單字N2（口袋書）-i.4804854.6118273792
9789869779555【大師圖書雅典-永】日檢單字+文法一本搞定N2,$236,https://shopee.tw//9789869779555【大師圖書雅典-永】日檢單字-文法一本搞定N2-i.59926168.6116935146
"日檢必背文法及重音版單字大全套熱銷套書：新制日檢！絕對合格N1,N2,N3,N4,N5必背文法大全",$766,https://shopee.tw//日檢必背文法及重音版單字大全套熱銷套書：新制日檢！絕對合格N1-N2-N3-N4-N5必背文法大全-i.159834670.7613788728
絕對合格！日檢必背單字 N5 N4 N3 N2 N1 袖珍本 精修版 山田社 附光碟,$180,https://shopee.tw//絕對合格！日檢必背單字-N5-N4-N3-N2-N1-袖珍本-精修版-山田社-附光碟-i.5248720.5840361714
N1.N2.N3 檢定考必讀、各類書況好二手書  日檢 單字 文法 聽力,$150,https://shopee.tw//N1.N2.N3-檢定考必讀、各類書況好二手書-日檢-單字-文法-聽力-i.2821604.5735232345
"新日檢JLPT N2關鍵單字2,500：主考官的單字庫完全收錄，新日檢N2快速過關！",$299,https://shopee.tw//新日檢JLPT-N2關鍵單字2-500：主考官的單字庫完全收錄，新日檢N2快速過關！-i.4391689.5641255187
高分．暢銷！10000單字，搞定新日檢：N1．N2．N3．N4．N5必考單字（最新版）（附MP3）,$292,https://shopee.tw//高分．暢銷！10000單字，搞定新日檢：N1．N2．N3．N4．N5必考單字（最新版）（附MP3）-i.192717465.5631169017
<書本熊>[我識] 新日檢考試有祕密：全方位N2單字+全真模擬試題(附1MP3) /郭欣怡：9789865785253,$354,https://shopee.tw//-書本熊-我識-新日檢考試有祕密：全方位N2單字-全真模擬試題(附1MP3)-郭欣怡：9789865785253-i.25236816.7432022915
"新日檢JLPT N2 關鍵540題+關鍵單字2,500",$578,https://shopee.tw//新日檢JLPT-N2-關鍵540題-關鍵單字2-500-i.284726507.5558878787
絕對合格日檢必背單字N2,$200,https://shopee.tw//絕對合格日檢必背單字N2-i.12753039.5531692565
