商品,價格,網址
"日檢N2套書：精修版 新制對應 絕對合格！日檢必背 [單字,文法,閱讀,聽力] N2熱銷套書（25K＋MP3）",$233 ~ $916,https://shopee.tw//日檢N2套書：精修版-新制對應-絕對合格！日檢必背-單字-文法-閱讀-聽力-N2熱銷套書（25K＋MP3）-i.83024609.2142035499
"精裝本 重音版 新日檢 絕對合格 N1,N2,N3,N4,N5單字大全（25K＋2MP3）",$431,https://shopee.tw//精裝本-重音版-新日檢-絕對合格-N1-N2-N3-N4-N5單字大全（25K＋2MP3）-i.163113630.6101334400
《瑞蘭國際》新日檢N2單字帶著背！[9折],$269,https://shopee.tw//《瑞蘭國際》新日檢N2單字帶著背！-9折--i.42458033.1792079680
N1 N2 N4 日語會話 日檢單字 文法 閱讀 聽解 商業日文 外來語,$160 ~ $300,https://shopee.tw//N1-N2-N4-日語會話-日檢單字-文法-閱讀-聽解-商業日文-外來語-i.274010440.7355594006
"語言/日文 日檢文法 日檢單字 日文檢定 日文寫作 N1,N2,N3,N4,N5",$125 ~ $349,https://shopee.tw//語言-日文-日檢文法-日檢單字-日文檢定-日文寫作-N1-N2-N3-N4-N5-i.38875055.4702340390
"新制日檢!絕對合格N1,N2單字全真模考三回+詳解（25K）",$258,https://shopee.tw//新制日檢!絕對合格N1-N2單字全真模考三回-詳解（25K）-i.133999892.2692894508
高分．暢銷！10000單字，搞定新日檢：N1．N2．N3．N4．N5必考單字（最新版）（附MP3）,$291,https://shopee.tw//高分．暢銷！10000單字，搞定新日檢：N1．N2．N3．N4．N5必考單字（最新版）（附MP3）-i.83024609.2631949852
"新日檢JLPT N2關鍵540題+關鍵單字2,500(3書+2MP3)",$280 ~ $545,https://shopee.tw//新日檢JLPT-N2關鍵540題-關鍵單字2-500(3書-2MP3)-i.17676261.2141354354
最新版日檢單字N5、N4、N3、N2、N1絕對合格一擊必殺！ [二手書_良好] 2995,$310,https://shopee.tw//最新版日檢單字N5、N4、N3、N2、N1絕對合格一擊必殺！-二手書_良好-2995-i.159834670.7953785637
(山田社)袖珍本 精修重音版 新制對應 絕對合格！日檢必背單字N2（50K＋DVD）,$230,https://shopee.tw//(山田社)袖珍本-精修重音版-新制對應-絕對合格！日檢必背單字N2（50K＋DVD）-i.163145167.7934816794
"【來我書店】 我識 新日檢JLPT N2關鍵單字2,500：主考 官的單字庫完全收錄，新日檢N2快速 過關!",$284,https://shopee.tw//【來我書店】-我識-新日檢JLPT-N2關鍵單字2-500：主考-官的單字庫完全收錄，新日檢N2快速-過關!-i.203415861.7930621371
袖珍本　精修重音版新制對應絕對合格！日檢必背單字N2（50K＋DVD）【ttbooks】,$240,https://shopee.tw//袖珍本-精修重音版新制對應絕對合格！日檢必背單字N2（50K＋DVD）【ttbooks】-i.105074887.7917310518
【二手書】新日檢N2單字帶著背！,$150,https://shopee.tw//【二手書】新日檢N2單字帶著背！-i.3546773.7851945454
《山田社》絕對合格！新制日檢必勝情境分類單字N2[9折],$332,https://shopee.tw//《山田社》絕對合格！新制日檢必勝情境分類單字N2-9折--i.42458033.7847420950
絕對合格日檢必備單字 N2 出價談,$200,https://shopee.tw//絕對合格日檢必備單字-N2-出價談-i.137952652.7744989343
日檢單字絕對合格N5 N4 N3 N2 N1一撃必殺,$350,https://shopee.tw//日檢單字絕對合格N5-N4-N3-N2-N1一撃必殺-i.8864677.7716706040
一本就夠用！新日檢N2單字王（口袋書）[79折]11100696224,$197,https://shopee.tw//一本就夠用！新日檢N2單字王（口袋書）-79折-11100696224-i.159834670.7716572948
精修重音版 新制日檢！絕對合格N1，N2，N3，N4，N5必背單字大全(MP3)(lulu文化 賣場消費滿五本九折優惠),$440,https://shopee.tw//精修重音版-新制日檢！絕對合格N1，N2，N3，N4，N5必背單字大全(MP3)(lulu文化-賣場消費滿五本九折優惠)-i.157683134.7606595496
//語言書//絕對合格日檢必背單字N2 山田社,$200,https://shopee.tw//-語言書-絕對合格日檢必背單字N2-山田社-i.4159969.7548683807
<書本熊>[山田]絕對合格！新制日檢 必勝N2情境分類單字 (25K+MP3)：9789862465530,$370,https://shopee.tw//-書本熊-山田-絕對合格！新制日檢-必勝N2情境分類單字-(25K-MP3)：9789862465530-i.25236816.7509271457
