商品,價格1,價格2,網址,圖片
-書本熊-精修版-新制日檢！絕對合格-N1-N2必背單字大全（25K＋MP3）9789862464670,332,332,https://shopee.tw//-書本熊-精修版-新制日檢！絕對合格-N1-N2必背單字大全（25K＋MP3）9789862464670-i.25236816.457257230,https://cf.shopee.tw/file/ec45e20c9039c307e46e38818449b439_tn
-書本熊二館-山田社-精修重音版-新制對應-絕對合格！日檢必背單字N2-(25K-MP3)：9789862465455,338,338,https://shopee.tw//-書本熊二館-山田社-精修重音版-新制對應-絕對合格！日檢必背單字N2-(25K-MP3)：9789862465455-i.155768384.6410541010,https://cf.shopee.tw/file/e6a84c5d447c21d61d0abd25de4cbd45_tn
9789862465455﹝大師圖書山田社-﹞精修重音版新制對應絕對合格！日檢必背單字N2（25K＋MP3）,339,339,https://shopee.tw//9789862465455﹝大師圖書山田社-﹞精修重音版新制對應絕對合格！日檢必背單字N2（25K＋MP3）-i.100214108.2361614445,https://cf.shopee.tw/file/8087865aaf93ce51f3c32f2665c772b2_tn
精修重音版新制對應絕對合格日檢必背單字N2(25K-MP3),339,339,https://shopee.tw//精修重音版新制對應絕對合格日檢必背單字N2(25K-MP3)-i.20570968.2357777493,https://cf.shopee.tw/file/5063a0208aae835d499aa7f60c9577e8_tn
10000單字，搞定新日檢：N1、N2、N3、N4、N5必考單字，高分合格-88折-11100791004,351,351,https://shopee.tw//10000單字，搞定新日檢：N1、N2、N3、N4、N5必考單字，高分合格-88折-11100791004-i.159834670.3916668431,https://cf.shopee.tw/file/9d7463bd18221adcc7536e000115b97f_tn
《山田社》新制日檢！絕對合格N2單字、文法、閱讀、聽力全真模考三回＋詳解-9折-,359,359,https://shopee.tw//《山田社》新制日檢！絕對合格N2單字、文法、閱讀、聽力全真模考三回＋詳解-9折--i.42458033.3247571537,https://cf.shopee.tw/file/0e001c5f3b25c09db566583fbea3ebcf_tn
精修版新制日檢！絕對合格N1-N2必背單字大全（25K＋MP3）-88折-11100813386,370,370,https://shopee.tw//精修版新制日檢！絕對合格N1-N2必背單字大全（25K＋MP3）-88折-11100813386-i.159834670.3213954156,https://cf.shopee.tw/file/8b3cfc7d54555b08e8224f306d9e5545_tn
-書本熊-山田-新制日檢!絕對合格N1-N2單字全真模考三回-詳解（25K）：9789862465073,370,370,https://shopee.tw//-書本熊-山田-新制日檢!絕對合格N1-N2單字全真模考三回-詳解（25K）：9789862465073-i.25236816.3809367557,https://cf.shopee.tw/file/781568efd5816742c3876f5e7e211350_tn
精修重音版新制對應絕對合格！日檢必背單字N2（25K-MP3）-88折-11100879138,378,378,https://shopee.tw//精修重音版新制對應絕對合格！日檢必背單字N2（25K-MP3）-88折-11100879138-i.159834670.4513757436,https://cf.shopee.tw/file/226c39b8f8f4c4208e65b45666556044_tn
-書本熊二館-我識-新日檢JLPT-N2關鍵單字2500-（附CD)-9789869737104,379,379,https://shopee.tw//-書本熊二館-我識-新日檢JLPT-N2關鍵單字2500-（附CD)-9789869737104-i.155768384.6907280124,https://cf.shopee.tw/file/1199207f342202c54bcbb4aae65d37bf_tn
-讀好書-最新版日檢單字N5、N4、N3、N2、N1絕對合格一擊必殺！2018-03-9789578904026,390,390,https://shopee.tw//-讀好書-最新版日檢單字N5、N4、N3、N2、N1絕對合格一擊必殺！2018-03-9789578904026-i.23603259.1005428101,https://cf.shopee.tw/file/69a84a584427b7482fb9ab498ecea167_tn
-建宏-最新版日檢單字N5、N4、N3、N2、N1絕對合格一擊必殺！2018-03-9789578904026,392,392,https://shopee.tw//-建宏-最新版日檢單字N5、N4、N3、N2、N1絕對合格一擊必殺！2018-03-9789578904026-i.39144451.1015876940,https://cf.shopee.tw/file/69a84a584427b7482fb9ab498ecea167_tn
9789862463543【大師圖書山田社-】精裝本（修訂本）新日檢絕對合格-N1、N2、N3、N4、N5單字大全（25,394,394,https://shopee.tw//9789862463543【大師圖書山田社-】精裝本（修訂本）新日檢絕對合格-N1、N2、N3、N4、N5單字大全（25-i.59926168.1064467204,https://cf.shopee.tw/file/72f1f7afbf8720fc225809c4c847f4f4_tn
精修重音版-新制日檢！絕對合格N1-N2-N3-N4-N5必背單字大全（25K-MP3）,460,460,https://shopee.tw//精修重音版-新制日檢！絕對合格N1-N2-N3-N4-N5必背單字大全（25K-MP3）-i.163113630.2608678619,https://cf.shopee.tw/file/d651024d19f813a23518a101e0a34b10_tn
精修重音版-新制日檢！絕對合格N1-N2-N3-N4-N5必背單字大全,460,460,https://shopee.tw//精修重音版-新制日檢！絕對合格N1-N2-N3-N4-N5必背單字大全-i.163145167.2546350635,https://cf.shopee.tw/file/d651024d19f813a23518a101e0a34b10_tn
精修重音版-新制日檢！絕對合格N1-N2-N3-N4-N5必背單字大全（25K-MP3） ,467,467,https://shopee.tw//精修重音版-新制日檢！絕對合格N1-N2-N3-N4-N5必背單字大全（25K-MP3）-i.83024609.2160522583,https://cf.shopee.tw/file/ae64685e81b274edb884d14d2f56ce64_tn
《山田社》精修重音版新制日檢！絕對合格N1、N2、N3、N4、N5必背單字大全-9折-,576,576,https://shopee.tw//《山田社》精修重音版新制日檢！絕對合格N1、N2、N3、N4、N5必背單字大全-9折--i.42458033.5247807803,https://cf.shopee.tw/file/c2507322b39d2d69a71ace862664b129_tn
